"Feed URL","Episode ID",Visible?,"Marked as played on","Manually set","Is New?","Last played on","Playback position","Play count","Has been played?"
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1266",,2016-11-19T03:56:37.675Z,No,No,2016-11-19T03:56:37Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1271",,,No,No,2016-11-23T23:09:11Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1274",,,No,No,2016-11-30T20:41:27Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1278",,,No,No,2016-12-10T04:29:45Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1281",,,No,No,2016-12-24T09:03:10Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1284",,,No,No,2016-12-24T19:54:44Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1289",,,No,No,2017-02-05T10:05:27Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1292",,,No,No,2017-02-05T10:28:04Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1298",,,No,No,2017-02-05T10:48:32Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1302",,,No,No,2017-02-05T11:18:19Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1313",,,No,No,2017-02-11T09:40:31Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1318",,,No,No,2017-02-23T11:56:22Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1320",,,No,No,2017-02-23T11:54:31Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1325",,,No,No,2017-04-25T12:21:04Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1328",,,No,No,2017-05-07T07:03:42Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1333",,,No,No,2017-05-07T17:03:02Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1336",,,No,No,2017-05-08T17:51:17Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1340",,,No,No,2017-05-08T09:57:33Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1345",,,No,No,2017-05-08T10:31:43Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1351",,,No,No,2017-05-08T10:56:08Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1355",,,No,No,2017-05-08T11:22:37Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1359",,,No,No,2017-05-06T06:00:39Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1364",,,No,No,2017-05-10T12:40:52Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1368",,,No,No,2017-05-20T13:02:58Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1370",,,No,No,2017-05-25T13:08:49Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1375",,,No,No,2017-06-05T17:27:08Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1379",,,No,No,2017-06-10T05:02:45Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1382",,,No,No,2017-06-10T05:13:41Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1387",,,No,No,2017-06-15T11:39:12Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1392",,,No,No,2017-06-22T07:35:48Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1395",,,No,No,2017-06-28T22:07:58Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1399",,,No,No,2017-07-08T13:54:41Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1402",,,No,No,2017-07-15T08:50:12Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1406",,,No,No,2017-07-20T21:52:18Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1409",,,No,No,2017-07-29T09:57:57Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1413",,,No,No,2017-08-02T11:44:55Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1418",,,No,No,2017-08-10T08:00:52Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1421",,,No,No,2017-08-18T23:34:04Z,,,
